NDistance;NTime;D*T;;RL;UD
1,052631579;10,5702079;11,12653463;;220;242
1,025;5,014509976;5,139872725;;209;229
1;3,942498619;3,942498619;;198;218
2,263157895;3,69228363;8,356220848;;211;207
1,014285714;2,863170113;2,904072543;;201;207
1;2,475665065;2,475665065;;181;207
3,153846154;6,018009186;18,97987512;;196;207
1;2,669859727;2,669859727;;186;207
2,636363636;4,191607779;11,05060233;;177;207
3,25;7,767876834;25,24559971;;168;207
4,714285714;7,447142942;35,10795958;;159;207
1;1,310126415;1,310126415;;171;207
5,043478261;8,718207401;43,9700895;;;
1;1,96900041;1,96900041;;;
1;2,011926174;2,011926174;;;
1,121212121;1,791633946;2,008801696;;;
2;4,061313987;8,122627974;;;
1;1,828794907;1,828794907;;;
1,380952381;2,699059759;3,727273;;;
8,333333333;15,3988266;128,323555;;;
3,322580645;6,469809317;21,49646321;;;
2,818181818;6,199050166;17,47005047;;;
1;1,001188755;1,001188755;;;
1,447368421;1,939978694;2,807863899;;;
1,138613861;1,986450889;2,261800518;;;
1,712328767;2,747000962;4,703768771;;;
1;1,511634569;1,511634569;;;
1,363636364;2,05240591;2,798735332;;;
2,780487805;4,888061198;13,59119455;;;
2,209302326;4,010192294;8,859727162;;;
