NDistance;NTime
1.0526315789473684;10.570207896985506
1.025;5.014509975910187
1.0;3.9424986189061944
2.263157894736842;3.6922836303710938
1.0142857142857142;2.8631701128823415
1.0;2.475665065477479
3.1538461538461537;6.018009185791016
1.0;2.6698597272237143
2.6363636363636362;4.191607778722589
3.25;7.767876833677292
4.714285714285714;7.447142941611154
1.0;1.3101264146658091
5.043478260869565;8.718207400778066
1.0;1.9690004101505985
1.0;2.0119261741638184
1.121212121212121;1.7916339455228865
2.0;4.061313986778259
1.0;1.8287949073009002
1.380952380952381;2.699059758867536
8.333333333333334;15.398826599121094
3.3225806451612905;6.469809316819714
2.8181818181818183;6.199050166390158
1.0;1.0011887550354004
1.4473684210526316;1.939978693660937
1.1386138613861385;1.9864508893230175
1.7123287671232876;2.747000962087553
1.0;1.5116345686990706
1.3636363636363635;2.052405910058455
2.7804878048780486;4.888061197792612
2.2093023255813953;4.010192294453466
