signaal;tijd
3.447265625;0.2
3.291015625;0.4
3.2958984375;0.6
1.533203125;0.8
1.5771484375;1
1.5380859375;1.2
1.5673828125;1.4
1.6162109375;1.6
1.650390625;1.8
1.6064453125;2
1.9921875;2.2
3.4228515625;2.4
3.3984375;2.6
3.291015625;2.8
3.1396484375;3
3.1298828125;3.2
3.02734375;3.4
3.0029296875;3.6
3.0029296875;3.8
2.998046875;4
2.91015625;4.2
2.87109375;4.4
2.8076171875;4.6
2.7587890625;4.8
2.63671875;5
2.5732421875;5.2
2.5146484375;5.4
2.4560546875;5.6
2.40234375;5.8
2.34375;6
2.3583984375;6.2
2.314453125;6.4
2.2802734375;6.6
2.28515625;6.8
2.2119140625;7
1.220703125;7.2
0.6982421875;7.4
0.6591796875;7.6
0.64453125;7.8
0.56640625;8
0.5859375;8.2
0.56640625;8.4
0.60546875;8.6
0.576171875;8.8
0.5859375;9
