tijd;YSignaal
0.2;2.5048828125
0.4;2.607421875
0.6;2.6611328125
0.8;2.65625
1;2.91015625
1.2;2.2900390625
1.4;2.12890625
1.6;2.197265625
1.8;2.1484375
2;2.236328125
2.2;2.255859375
2.4;2.28515625
2.6;2.79296875
2.8;2.626953125
3;2.587890625
3.2;2.5830078125
3.4;2.568359375
3.6;2.578125
3.8;2.578125
4;3.22265625
4.2;3.3447265625
4.4;2.75390625
4.6;2.7392578125
4.8;2.880859375
5;2.91015625
5.2;2.9248046875
5.4;3.359375
5.6;3.0078125
5.8;2.5830078125
6;2.4609375
6.2;2.6220703125
6.4;2.626953125
6.6;2.5439453125
6.8;2.5732421875
7;2.7490234375
7.2;2.6318359375
7.4;2.294921875
7.6;2.421875
7.8;2.44140625
8;2.4267578125
8.2;2.4755859375
8.4;2.5634765625
8.6;3.4619140625
8.8;2.9736328125
9;2.802734375
9.2;2.734375
9.4;2.6953125
9.6;2.7001953125
9.8;2.9052734375
10;2.7978515625
10.2;2.8271484375
10.4;2.763671875
10.6;2.7587890625
10.8;2.744140625
11;2.7294921875
11.2;3.056640625
11.4;2.646484375
11.6;2.5341796875
11.8;2.5537109375
12;2.5439453125
12.2;2.5244140625
12.4;2.5
12.6;2.5439453125
12.8;2.509765625
13;2.236328125
13.2;2.216796875
13.4;2.2265625
13.6;2.2412109375
13.8;2.2607421875
14;2.2607421875
14.2;2.3046875
14.4;2.685546875
14.6;2.5244140625
14.8;2.5
15;2.51953125
15.2;2.48046875
15.4;2.5048828125
15.6;3.1640625
15.8;2.9443359375
16;2.607421875
16.2;2.666015625
16.4;2.6513671875
16.6;2.6611328125
16.8;2.646484375
17;3.10546875
17.2;2.626953125
17.4;2.5244140625
17.6;2.470703125
17.8;2.44140625
18;2.4365234375
18.2;2.421875
18.4;2.7099609375
18.6;2.1728515625
18.8;2.0849609375
19;2.0849609375
19.2;2.1044921875
19.4;2.1240234375
19.6;2.109375
19.8;2.7392578125
20;2.490234375
20.2;2.412109375
20.4;2.51953125
20.6;2.4951171875
20.8;2.2607421875
21;2.2607421875
21.2;2.265625
21.4;2.8466796875
21.6;2.7587890625
21.8;2.7490234375
22;2.7294921875
