ndist;goals
1.86666666666666;1
2.57142857142857;2
1.8;3
3.39024390243902;4
1.06306306306306;5
1.32835820895522;6
2.6590909090909;7
1.63235294117647;8
1;9
2.25;10
2.3;11
2.28571428571428;12
1;13
2.91666666666666;14
3.46428571428571;15
1.26436781609195;16
2.1;17
1.47058823529411;18
1.25925925925925;19
1.32727272727272;20
1.3076923076923;21
1.52307692307692;22
1.54901960784313;23
1.53333333333333;24
1.33333333333333;25
1.01639344262295;26
1;27
1;28
1;29
1.22222222222222;30
1.01851851851851;31
1;32
1;33
1;34
1;35
1.47619047619047;36
1.11764705882352;37
2.625;38
1.25;39
1.01869158878504;40
1.23529411764705;41
1;42
2.1;43
1.26595744680851;44
1.35526315789473;45
1;46
1.52941176470588;47
1.375;48
1;49
1.9090909090909;50
1;51
1;52
1.30263157894736;53
1;54
1.15384615384615;55
1;56
1;57
1.07692307692307;58
1;59
1;60
1.34482758620689;61
1.23529411764705;62
2.02173913043478;63
1.57894736842105;64
2.63888888888888;65
2.3235294117647;66
3;67
1.23529411764705;68
1.66666666666666;69
1;70
2.45454545454545;71
1.11764705882352;72
1;73
1.10112359550561;74
1;75
1;76
1.22972972972972;77
