goals;ntime
1;8.34
2;1.65
3;5.07
4;8.54
5;1.88
6;3.51
7;5.28
8;2.81
9;1.23
10;2.36
11;4.27
12;1.73
13;3.58
14;2.75
15;4.7
16;4.5
17;4.01
18;2.29
19;3.07
20;1.65
21;2.3
22;2.01
23;1.9
24;2.38
25;9.18
26;1.87
27;1.94
28;1.91
29;2.65
30;7.02
31;3.4
32;3.7
33;2.97
34;2.91
35;9.36
36;1.48
37;4.17
38;7.16
39;1.88
40;8.81
41;3.85
42;1.43
43;2.13
44;2.74
45;4.43
46;2.49
47;1
48;2.16
49;1.68
50;2.11
51;3.44
52;2.22
53;2.66
54;3.58
55;2.17
56;4.66
57;4.56
58;6.92
59;1.82
60;2.42
61;4.78
62;3.85
63;2.77
64;3.16
65;1
66;3.16
67;5.16
68;2.22
69;7.148712533
70;5.197511073
71;6.62009716
72;1.8954111
73;1.905301826
74;1.679314012
75;2.191506985
76;2.793859849
77;1.69434383
78;8.358364105
79;10.02658045
80;2.434156707
81;5.018169284
82;3.690755558
83;5.014120996
84;1.741688535
85;1.600069137
86;3.681950569
87;5.728251662
88;1.456121877
